word,__sum_candidate,__sum_others,__total_candidate,__total_others,__ratio_candidate,__ratio_others,more_likely_candidate,more_likely_others,__sum_all,__total_all,__ratio_all
bate,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
bate-papo,4.0,2.0,12571.0,110488.0,0.00032,2e-05,17.57824,0.05689,6.0,123059.0,0.48757
batem,2.0,1.0,12571.0,110488.0,0.00016,1e-05,17.57824,0.05689,3.0,123059.0,0.24379
batendo,2.0,3.0,12571.0,110488.0,0.00016,3e-05,5.85941,0.17067,5.0,123059.0,0.40631
bater,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
beijo,2.0,3.0,12571.0,110488.0,0.00016,3e-05,5.85941,0.17067,5.0,123059.0,0.40631
bela,2.0,12.0,12571.0,110488.0,0.00016,0.00011,1.46485,0.68266,14.0,123059.0,1.13767
belezas,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
belo,4.0,20.0,12571.0,110488.0,0.00032,0.00018,1.75782,0.56889,24.0,123059.0,1.95028
bem-vindo,2.0,3.0,12571.0,110488.0,0.00016,3e-05,5.85941,0.17067,5.0,123059.0,0.40631
bem-vindos,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
beneficia,1.0,9.0,12571.0,110488.0,8e-05,8e-05,0.97657,1.02399,10.0,123059.0,0.81262
beneficiados,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
beneficiar,2.0,19.0,12571.0,110488.0,0.00016,0.00017,0.92517,1.08088,21.0,123059.0,1.7065
benesses,1.0,21.0,12571.0,110488.0,8e-05,0.00019,0.41853,2.38932,22.0,123059.0,1.78776
berço,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
betim,2.0,5.0,12571.0,110488.0,0.00016,5e-05,3.51565,0.28444,7.0,123059.0,0.56883
beto,2.0,1.0,12571.0,110488.0,0.00016,1e-05,17.57824,0.05689,3.0,123059.0,0.24379
bilhões,1.0,101.0,12571.0,110488.0,8e-05,0.00091,0.08702,11.49148,102.0,123059.0,8.28871
biografia,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
biombo,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
bloco,1.0,7.0,12571.0,110488.0,8e-05,6e-05,1.25559,0.79644,8.0,123059.0,0.65009
blocos,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
blog,2.0,8.0,12571.0,110488.0,0.00016,7e-05,2.19728,0.45511,10.0,123059.0,0.81262
bloqueio,2.0,2.0,12571.0,110488.0,0.00016,2e-05,8.78912,0.11378,4.0,123059.0,0.32505
boas,1.0,36.0,12571.0,110488.0,8e-05,0.00033,0.24414,4.09597,37.0,123059.0,3.00669
boca,2.0,2.0,12571.0,110488.0,0.00016,2e-05,8.78912,0.11378,4.0,123059.0,0.32505
bola,3.0,2.0,12571.0,110488.0,0.00024,2e-05,13.18368,0.07585,5.0,123059.0,0.40631
boletim,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
bolsa,6.0,29.0,12571.0,110488.0,0.00048,0.00026,1.81844,0.54992,35.0,123059.0,2.84416
bolsonaro,4.0,118.0,12571.0,110488.0,0.00032,0.00107,0.29794,3.35642,122.0,123059.0,9.91394
boneco,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
bonita,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
bonito,1.0,5.0,12571.0,110488.0,8e-05,5e-05,1.75782,0.56889,6.0,123059.0,0.48757
bons,1.0,39.0,12571.0,110488.0,8e-05,0.00035,0.22536,4.43731,40.0,123059.0,3.25047
borges,2.0,1.0,12571.0,110488.0,0.00016,1e-05,17.57824,0.05689,3.0,123059.0,0.24379
botar,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
braga,1.0,6.0,12571.0,110488.0,8e-05,5e-05,1.46485,0.68266,7.0,123059.0,0.56883
branco,1.0,15.0,12571.0,110488.0,8e-05,0.00014,0.58594,1.70666,16.0,123059.0,1.30019
brancos,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
brasil,130.0,1281.0,12571.0,110488.0,0.01034,0.01159,0.89195,1.12114,1411.0,123059.0,114.66045
brasileira,14.0,150.0,12571.0,110488.0,0.00111,0.00136,0.82032,1.21904,164.0,123059.0,13.32694
brasileiras,8.0,22.0,12571.0,110488.0,0.00064,0.0002,3.19604,0.31289,30.0,123059.0,2.43786
brasileiro,15.0,228.0,12571.0,110488.0,0.00119,0.00206,0.57823,1.72941,243.0,123059.0,19.74663
brasileiros,7.0,219.0,12571.0,110488.0,0.00056,0.00198,0.28093,3.5596,226.0,123059.0,18.36517
brasilia,1.0,3.0,12571.0,110488.0,8e-05,3e-05,2.92971,0.34133,4.0,123059.0,0.32505
brasília,9.0,61.0,12571.0,110488.0,0.00072,0.00055,1.29676,0.77116,70.0,123059.0,5.68833
braços,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
breve,2.0,34.0,12571.0,110488.0,0.00016,0.00031,0.51701,1.93421,36.0,123059.0,2.92543
brigada,1.0,4.0,12571.0,110488.0,8e-05,4e-05,2.19728,0.45511,5.0,123059.0,0.40631
brincadeira,1.0,2.0,12571.0,110488.0,8e-05,2e-05,4.39456,0.22755,3.0,123059.0,0.24379
brincar,1.0,1.0,12571.0,110488.0,8e-05,1e-05,8.78912,0.11378,2.0,123059.0,0.16252
brizola,3.0,1.0,12571.0,110488.0,0.00024,1e-05,26.36735,0.03793,4.0,123059.0,0.32505
bruna,3.0,1.0,12571.0,110488.0,0.00024,1e-05,26.36735,0.03793,4.0,123059.0,0.32505
