__ratio_all,__ratio_candidate,__ratio_others,__sum_all,__sum_candidate,__sum_others,__total_all,__total_candidate,__total_others,file,more_likely_candidate,more_likely_others,twitter_handle,word
0.73136,7e-05,8e-05,9.0,2.0,7.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.8810600000000001,1.13499,alvarodias_,acusação
0.81262,0.00013000000000000002,5.9999999999999995e-05,10.0,4.0,6.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,2.05582,0.48641999999999996,alvarodias_,acusações
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,adequada
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,aderiu
0.48757,2.9999999999999997e-05,5e-05,6.0,1.0,5.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.61675,1.62142,alvarodias_,adesão
1.46271,0.00013000000000000002,0.00015,18.0,4.0,14.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.8810600000000001,1.13499,alvarodias_,adianta
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,adiantar
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,adiar
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,administrado
0.5688300000000001,2.9999999999999997e-05,5.9999999999999995e-05,7.0,1.0,6.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.51395,1.9457,alvarodias_,administrar
1.46271,0.00056,1e-05,18.0,17.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,52.42334,0.01908,alvarodias_,administrativa
1.54397,0.00043,5.9999999999999995e-05,19.0,13.0,6.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,6.6814100000000005,0.14967,alvarodias_,administração
0.40631,2.9999999999999997e-05,4e-05,5.0,1.0,4.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.77093,1.29713,alvarodias_,admite
0.32505,0.0001,1e-05,4.0,3.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,9.25118,0.10809,alvarodias_,admitir
0.48757,2.9999999999999997e-05,5e-05,6.0,1.0,5.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,0.61675,1.62142,alvarodias_,adolescentes
0.24379,2.9999999999999997e-05,2e-05,3.0,1.0,2.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,adotada
0.24379,2.9999999999999997e-05,2e-05,3.0,1.0,2.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,1.54186,0.64857,alvarodias_,adriana
0.16252,2.9999999999999997e-05,1e-05,2.0,1.0,1.0,123059.0,30134.0,92925.0,../data/matrix-geral/alvarodias_-matrix.csv,3.08373,0.32428,alvarodias_,adversária
